timestamp_s,x,y,yaw,seq
9.000000,11.50000,0.50000,0.000000,3
9.000000,12.50000,0.50000,0.244979,4
9.000000,13.50000,0.75000,0.244979,5
9.000000,14.50000,1.00000,0.463648,6
9.000000,15.50000,1.50000,0.463648,7
9.000000,16.50000,2.00000,0.000000,8
9.000000,17.50000,2.00000,0.000000,9
9.000000,18.50000,2.00000,-0.244979,10
9.000000,19.50000,1.75000,-0.244979,11
9.000000,20.50000,1.50000,-0.463648,12
9.000000,21.50000,1.00000,-0.463648,13
9.000000,22.50000,0.50000,-0.463648,14
9.000000,23.50000,0.00000,-0.244979,15
9.000000,24.50000,-0.25000,-0.463648,16
9.000000,25.50000,-0.75000,-0.463648,17
9.000000,26.50000,-1.25000,-0.244979,18
9.000000,27.50000,-1.50000,0.000000,19
9.000000,28.50000,-1.50000,0.000000,20
9.000000,29.50000,-1.50000,0.000000,21
9.000000,30.50000,-1.50000,0.244979,22
9.000000,31.50000,-1.25000,0.244979,23
9.000000,32.50000,-1.00000,0.244979,24
9.000000,33.50000,-0.75000,0.244979,25
9.000000,34.50000,-0.50000,0.000000,26
9.000000,35.50000,-0.50000,0.000000,27
9.000000,36.50000,-0.50000,0.000000,28
9.000000,37.50000,-0.50000,0.000000,29
9.000000,38.50000,-0.50000,0.000000,30
9.100000,8.65172,0.42407,0.089272,0
9.100000,9.50000,0.50000,0.000000,1
9.100000,10.50000,0.50000,0.000000,2
9.100000,11.50000,0.50000,0.000000,3
9.100000,12.50000,0.50000,0.244979,4
9.100000,13.50000,0.75000,0.244979,5
9.100000,14.50000,1.00000,0.463648,6
9.100000,15.50000,1.50000,0.463648,7
9.100000,16.50000,2.00000,0.000000,8
9.100000,17.50000,2.00000,0.000000,9
9.100000,18.50000,2.00000,-0.244979,10
9.100000,19.50000,1.75000,-0.244979,11
9.100000,20.50000,1.50000,-0.463648,12
9.100000,21.50000,1.00000,-0.463648,13
9.100000,22.50000,0.50000,-0.463648,14
9.100000,23.50000,0.00000,-0.244979,15
9.100000,24.50000,-0.25000,-0.244979,16
9.100000,25.50000,-0.50000,-0.463648,17
9.100000,26.50000,-1.00000,-0.244979,18
9.100000,27.50000,-1.25000,0.000000,19
9.100000,28.50000,-1.25000,0.000000,20
9.100000,29.50000,-1.25000,0.000000,21
9.100000,30.50000,-1.25000,0.000000,22
9.100000,31.50000,-1.25000,0.244979,23
9.100000,32.50000,-1.00000,0.244979,24
9.100000,33.50000,-0.75000,0.244979,25
9.100000,34.50000,-0.50000,0.000000,26
9.100000,35.50000,-0.50000,0.000000,27
9.100000,36.50000,-0.50000,0.000000,28
9.100000,37.50000,-0.50000,0.000000,29
9.100000,38.50000,-0.50000,0.000000,30
9.200000,8.75199,0.44714,0.042334,0
9.200000,10.00000,0.50000,0.000000,1
9.200000,11.00000,0.50000,0.000000,2
9.200000,12.00000,0.50000,0.244979,3
9.200000,13.00000,0.75000,0.244979,4
9.200000,14.00000,1.00000,0.463648,5
9.200000,15.00000,1.50000,0.463648,6
9.200000,16.00000,2.00000,0.000000,7
9.200000,17.00000,2.00000,0.000000,8
9.200000,18.00000,2.00000,-0.244979,9
9.200000,19.00000,1.75000,-0.244979,10
9.200000,20.00000,1.50000,-0.244979,11
9.200000,21.00000,1.25000,-0.463648,12
9.200000,22.00000,0.75000,-0.463648,13
9.200000,23.00000,0.25000,-0.244979,14
9.200000,24.00000,0.00000,-0.244979,15
9.200000,25.00000,-0.25000,-0.463648,16
9.200000,26.00000,-0.75000,-0.463648,17
9.200000,27.00000,-1.25000,-0.244979,18
9.200000,28.00000,-1.50000,0.000000,19
9.200000,29.00000,-1.50000,0.000000,20
9.200000,30.00000,-1.50000,0.000000,21
9.200000,31.00000,-1.50000,0.463648,22
9.200000,32.00000,-1.00000,0.244979,23
9.200000,33.00000,-0.75000,0.244979,24
9.200000,34.00000,-0.50000,0.000000,25
9.200000,35.00000,-0.50000,0.000000,26
9.200000,36.00000,-0.50000,0.000000,27
9.200000,37.00000,-0.50000,0.000000,28
9.200000,38.00000,-0.50000,0.000000,29
9.200000,39.00000,-0.50000,0.000000,30
9.300000,8.83730,0.48666,0.011472,0
9.300000,10.00000,0.50000,0.000000,1
9.300000,11.00000,0.50000,0.000000,2
9.300000,12.00000,0.50000,0.244979,3
9.300000,13.00000,0.75000,0.244979,4
9.300000,14.00000,1.00000,0.463648,5
9.300000,15.00000,1.50000,0.463648,6
9.300000,16.00000,2.00000,0.000000,7
9.300000,17.00000,2.00000,0.000000,8
9.300000,18.00000,2.00000,0.000000,9
9.300000,19.00000,2.00000,-0.244979,10
9.300000,20.00000,1.75000,-0.463648,11
9.300000,21.00000,1.25000,-0.463648,12
9.300000,22.00000,0.75000,-0.463648,13
